Category,Brand,Model,Color,Note,Nib Size,Purchase Date,Price,Retailer
Case,Kokuyo,NeoCritz,Navy,,,2020-12-09,$15.50,JetPens
Case,Sun-Star,Delde,Violet,,,2020-12-09,$16.50,JetPens
Case,Sun-Star,Delde,Camel,Corduroy,,2020-12-19,$18.50,JetPens
Case,Sun-Star,Delde,Blue,Corduroy,,2020-12-19,$18.50,JetPens
Case,Kokuyo,NeoCritz,Navy,Navy dot,,2021-01-05,$15.50,JetPens
Case,Pilot,Tatemo,Blue,,,2021-01-05,$20.00,JetPens
Converter,Sailor,Standard converter,,,,2020-12-22,$4.90,PenSachi
Converter,LAMY,Z27,,,,2020-12-27,$60.00,Goulet Pens
Converter,Pilot,CON-40,,,,2020-12-27,$6.00,Goulet Pens
Correction,Kokuyo,Dual Head Keshipita,,Correction tape,,2020-12-09,$3.15,JetPens
Correction,Tombow,Mono 2way,,Correction tape,,2020-12-09,$4.95,JetPens
Correction,Tombow,Mono 2way,,Reffill,,2020-12-09,$3.00,JetPens
Fountain Pen,LAMY,2000,Black,,Fine,2020-11-14,$144.85,Amazon
Fountain Pen,Pilot,Metropolitan,Black,Crocodile,Fine,2020-11-24,$18.99,Goulet Pens
Fountain Pen,Pilot,Custom 74,Teal,,Fine,2020-11-28,$160.00,Goulet Pens
Fountain Pen,Pilot,Custom 823,Smoke,,Fine,2020-11-28,$288.00,Goulet Pens
Fountain Pen,Pilot,Metropolitan,Purple,Elipses,Fine,2020-11-30,$19.50,JetPens
Fountain Pen,Pilot,Kakuno,Pink,,Extra Fine,2020-12-12,$12.50,JetPens
Fountain Pen,Platinum,Preppy,Various,7 count,Fine,2020-12-12,$31.00,JetPens
Fountain Pen,Pilot,Custom 74,Blue,,Extra Fine,2020-12-19,$160.00,JetPens
Fountain Pen,Pilot,Custom 74,Violet,,Extra Fine,2020-12-19,$160.00,JetPens
Fountain Pen,Pilot,Elite 95S,Dark red,,Extra Fine,2020-12-22,$100.00,PenSachi
Fountain Pen,Sailor,Pro Gear Slim,White,Harvest Moon,Extra Fine,2020-12-22,$120.00,PenSachi
Fountain Pen,LAMY,CP1,Black,,Extra Fine,2020-12-27,$60.00,Goulet Pens
Fountain Pen,TWSBI,Vac700R,Clear,Demonstrator,Fine,2021-01-17,$65.00,Goulet Pens
Fountain Pen,TWSBI,Vac Mini,Smoke,Demonstrator,Fine,2021-01-17,$60.00,Goulet Pens
Fountain Pen,Diplomat,Aero,Black & White,,Fine,2022-01-06,$180.00,Goulet Pens
Fountain Pen,Pilot,Prera,Light blue,Demonstrator,Fine,2022-01-06,$56.00,Goulet Pens
Fountain Pen,Kaweco,Sport AL Stonewashed,Blue,,Fine,2022-01-13,$82.00,JetPens
Fountain Pen,Diplomat,Aero,Blue,with pouch and ink,Fine,2022-01-24,149.97,Pens Boutique
Fountain Pen,LAMY,2000,Black,,Extra Fine,2022-06-29,$199.20,Goulet Pens
Fountain Pen,LAMY,Vista,Black,Special Edition,Extra Fine,2022-06-29,$34.90,Goulet Pens
Fountain Pen,Montblanc,149 Meisterstuck,Black,"from the Forum, Las Vegas",Fine,2022-07-30,"$1,000.00",Montblanc Store
Fountain Pen,Pelikan,M605,Green & white,First Pelikan,Fine,2022-11-23,$345.00,Goulet Pens
Fountain Pen,Platinum,Procyon Luster,Satin Silver,,Fine,2022-12-05,$64.00,JetPens
Fountain Pen,Platinum,Curidas,Gran Red,,Fine,2022-12-05,$72.00,JetPens
Fountain Pen,Pilot,Custom Heritage 92,Black,Transparent Smoke,Fine,2022-12-09,$135.00,PenSachi
Fountain Pen,Visconti,Homo Sapiens,Green,Demonstrator,Extra Fine,2023-01-12,$497.50,Goulet Pens
Fountain Pen,Retro 51,Tornado,P-51 Mustang,,Fine,2023-05-30,$63.20,Goulet Pens
Fountain Pen,Pilot,Prera,Orange,Demonstrator,Fine,2023-05-30,$59.20,Goulet Pens
Fountain Pen,Pilot,Custom 845,Red,Shu Vermillion,Fine,2023-07-17,$450.00,PenSachi
Fountain Pen,Pilot,Custom 823,Amber,,Fine,2022-12-31,$288.00,Goulet Pens
Fountain Pen,LAMY,Studio,Glacier,,Fine,2023-06-21,$79.20,JetPens
Fountain Pen,LAMY,Safari,Black,Gift from Lynn,Fine,2020-01-01,$0.00,Unknown
Fountain Pen,Pilot,Kakuno,Soft Violet,,Fine,2021-08-02,$12.50,JetPens
Fountain Pen,Parker,51,Burgundy,First Parker,Fine,2024-11-03,$87.20,JetPens
Fountain Pen,Sailor,1911L,Red,Pen of the year 2023,Fi,2023-01-01,$400.00,Goulet Pens
Fountain Pen,Platinum,Kanazawa Leaf Cherry Blossom,Black,Seattle,Fine,2023-06-10,$295.00,Kinokuniya
Fountain Pen,Pilot,Vanishing Point,Black Carbonesque,,Fine,,,
